R	53.5741	-6.11933	D805	07 Feb 2025	D805\n08:40 - Dublin Connolly to Drogheda (0 mins late)\nDeparted Skerries next stop Drogheda	Northbound
R	53.6635	-6.23271	P701	07 Feb 2025	P701\n09:00 - Drogheda to Dublin Connolly (3 mins late)\nDeparted Mosney next stop Gormanston	Southbound
R	53.7243	-7.79574	A900	07 Feb 2025	A900\n06:55 - Dublin Connolly to Sligo (10 mins late)\nDeparted Longford next stop Dromod	Northbound
R	54.0007	-6.41291	A102	07 Feb 2025	A102\n06:50 - Dublin Connolly to Belfast (5 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A104	07 Feb 2025	A104\n07:40 - Dublin Connolly to Belfast (0 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A105	07 Feb 2025	A105\n08:00 - Belfast to Dublin Connolly (-4 mins late)\nArrived Dundalk next stop Drogheda	Southbound
R	54.2723	-8.48249	A905	07 Feb 2025	A905\n09:05 - Sligo to Dublin Connolly (1 mins late)\nDeparted Sligo next stop Collooney	Southbound
T	53.1855	-6.80807	D403	07 Feb 2025	D403\n08:10 - Grand Canal Dock to Newbridge(1 mins late)\nTERMINATED Newbridge at 09:05	Southbound
T	53.2043	-6.10046	P604	07 Feb 2025	P604\n07:05 - Drogheda to Bray(1 mins late)\nTERMINATED Bray at 09:04	Southbound
T	53.3397	-6.23773	P404	07 Feb 2025	P404\n08:18 - Hazelhatch to Grand Canal Dock(3 mins late)\nTERMINATED Grand Canal Dock at 09:06	Northbound
T	53.3509	-6.23929	P305	07 Feb 2025	P305\n08:35 - M3 Parkway to Docklands(-2 mins late)\nTERMINATED Docklands at 09:10	Southbound
T	53.712	-6.33538	D803	07 Feb 2025	D803\n07:54 - Dublin Pearse to Drogheda(-2 mins late)\nTERMINATED Drogheda at 09:04	Northbound
